"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation"
"356","87DF","scenedesmus",15,0.14423364778941,0.85576635221059,0.942145352111436,0.0578546478885636,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"357","88D3","scenedesmus",10,0.000664003492002971,0.999335996507997,0.401815573713173,0.598184426286827,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"358","88DF","scenedesmus",15,0.141254686288246,0.858745313711754,0.947555510991744,0.052444489008256,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"359","89D3","scenedesmus",12,0.233275643050965,0.766724356949035,0.00215332994766963,0.99784667005233,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"360","89DF","scenedesmus",15,0.161515271487223,0.838484728512777,0.926158938007258,0.0738410619927423,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"361","8D3","chlorella",3,0.0449391853408642,0.955060814659136,0.996489073959438,0.00351092604056197,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"362","8DF","chlorella",1,0.00208485219702527,0.997915147802975,0.00556066310664382,0.994439336893356,"Increased CC","Increased GR","Increased CC
Increased GR"
"363","9,1DF","chlorella",1,0.000696069316753372,0.999303930683247,0.00883417825909152,0.991165821740909,"Increased CC","Increased GR","Increased CC
Increased GR"
"364","9,2DF","chlorella",1,0.803340554755332,0.196659445244668,0.185974128197797,0.814025871802203,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"365","90D3","scenedesmus",12,0.093155388894578,0.906844611105422,0.00135713963427532,0.998642860365725,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"366","90DF","scenedesmus",15,0.136688525518865,0.863311474481135,0.937038550952032,0.0629614490479675,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"367","91D3","scenedesmus",10,0.000917708129847541,0.999082291870153,0.0134120457392772,0.986587954260723,"Increased CC","Increased GR","Increased CC
Increased GR"
"368","91DF","scenedesmus",15,0.147048064867465,0.852951935132535,0.940146413874021,0.0598535861259786,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"369","92D3","scenedesmus",10,0.0206819465048664,0.979318053495134,0.942843090355828,0.0571569096441715,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"370","92DF","scenedesmus",15,0.154411998754386,0.845588001245614,0.934371131926398,0.0656288680736021,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"371","93D3","scenedesmus",12,0.2178019913446,0.7821980086554,0.000417093131162519,0.999582906868838,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"372","93DF","scenedesmus",15,0.16089829926379,0.83910170073621,0.934004941946389,0.0659950580536116,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"373","94DF","monoraphidium",17,0.114891003971803,0.885108996028197,0.717149595133477,0.282850404866523,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"374","95DF","monoraphidium",19,0.021043577896847,0.978956422103153,0.993556569191668,0.00644343080833219,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"375","96DF","monoraphidium",17,0.200082979727732,0.799917020272268,0.73852564364547,0.26147435635453,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"376","97DF","monoraphidium",20,0.459817026616848,0.540182973383152,0.509941347722285,0.490058652277715,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"377","98D3","scenedesmus",10,0.0808497859678418,0.919150214032158,0.212228257722052,0.787771742277948,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"378","98DF","monoraphidium",17,0.00986154225946391,0.990138457740536,0.712566117021391,0.287433882978609,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"379","99D3","scenedesmus",12,0.162891923982495,0.837108076017505,0.0418210136287155,0.958178986371285,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"380","99DF","monoraphidium",18,0.0688107358524097,0.93118926414759,0.278164320390978,0.721835679609022,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"381","9D3","chlorella",3,0.761421007989834,0.238578992010166,0.975276819637685,0.0247231803623148,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"382","9DF","chlorella",1,0.0767613138354418,0.923238686164558,0.507569426717697,0.492430573282303,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
