"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation"
"83","133D3","scenedesmus",13,0.219400425437294,0.780599574562706,0.0756938773019591,0.924306122698041,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"84","133DF","selenastrum",25,0.0895806365855872,0.910419363414413,0.335198223354792,0.664801776645208,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"85","134D3","scenedesmus",13,0.217210594125424,0.782789405874576,0.287269836630026,0.712730163369974,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"86","134DF","selenastrum",23,0.956795330929304,0.0432046690706958,0.00853360016523006,0.99146639983477,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"87","135D3","scenedesmus",13,0.47857866634857,0.52142133365143,0.0658097409155253,0.934190259084475,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"88","135DF","selenastrum",21,0.0695947210974159,0.930405278902584,0.999192560004445,0.000807439995555332,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"89","136,1DF","selenastrum",21,0.00242622926736277,0.997573770732637,0.99162173401827,0.00837826598173026,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"90","136D3","scenedesmus",14,0.958739210835923,0.0412607891640767,0.000173980081737294,0.999826019918263,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"91","136DF","selenastrum",21,0.0556231205574293,0.944376879442571,0.196385135222587,0.803614864777413,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"92","137D3","scenedesmus",13,0.72246835234678,0.27753164765322,0.292251268391597,0.707748731608403,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"93","137DF","selenastrum",23,0.804217961483327,0.195782038516673,0.0620091089888512,0.937990891011149,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"94","138DF","selenastrum",21,0.0162125173102834,0.983787482689717,0.997559349301074,0.00244065069892622,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"95","139D3","scenedesmus",13,0.99998043461754,1.95653824598818e-05,0.0144499326617044,0.985550067338296,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"96","139DF","selenastrum",25,0.00460699119864315,0.995393008801357,0.68625398123722,0.31374601876278,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"97","13D3","chlorella",3,0.967941823281815,0.0320581767181851,0.993996303008182,0.00600369699181789,"Decreased CC","Decreased GR","Decreased CC
Decreased GR"
"98","13DF","chlorella",1,0.00216677794663418,0.997833222053366,0.999361573597391,0.000638426402608903,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"99","140,1DF","selenastrum",24,0.276095752263589,0.723904247736411,0.814116636770751,0.185883363229249,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"100","140DF","selenastrum",22,0.00132762380707686,0.998672376192923,0.788278531098478,0.211721468901522,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"101","141,1DF","selenastrum",21,0.0118574439509324,0.988142556049068,0.868909555930076,0.131090444069924,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"102","141D3","scenedesmus",13,0.999953722561452,4.62774385475533e-05,0.0028378522638549,0.997162147736145,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"103","142,1DF","selenastrum",24,0.186414339698475,0.813585660301525,0.765524348684606,0.234475651315394,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"104","142D3","scenedesmus",13,0.979631597723879,0.0203684022761214,0.0101664221476627,0.989833577852337,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"105","142DF","selenastrum",22,0.0308899636894202,0.96911003631058,0.998038154168496,0.00196184583150426,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"106","143,1DF","selenastrum",21,0.0306098191189523,0.969390180881048,0.995505446439312,0.00449455356068803,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"107","143D3","scenedesmus",13,0.241078573243493,0.758921426756507,0.0382579943058923,0.961742005694108,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"108","143DF","selenastrum",25,0.0900413202985869,0.909958679701413,0.981894184950966,0.0181058150490342,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"109","144,1DF","selenastrum",22,0.0228183967530849,0.977181603246915,0.998751603335188,0.00124839666481162,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"110","145DF","selenastrum",25,6.88412358267547e-05,0.999931158764173,0.999495968439228,0.000504031560771739,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"111","146D3","scenedesmus",13,0.237824601761332,0.762175398238668,0.00126939035259441,0.998730609647406,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"112","146DF","selenastrum",24,0.221758968186719,0.778241031813281,0.713759956253265,0.286240043746735,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"113","147D3","scenedesmus",13,0.395828590551169,0.604171409448831,0.134559757153077,0.865440242846923,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"114","147DF","selenastrum",24,0.480392419254331,0.519607580745669,0.795182245364274,0.204817754635726,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"115","148D3","scenedesmus",14,0.983996148465219,0.0160038515347809,0.00236706529039934,0.997632934709601,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"116","148DF","selenastrum",23,0.0147841279449689,0.985215872055031,0.948762248446057,0.0512377515539433,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"117","149D3","scenedesmus",13,0.130414191262569,0.869585808737431,0.198351538045782,0.801648461954218,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"118","149DF","selenastrum",23,0.737148656845386,0.262851343154614,0.857095355149038,0.142904644850962,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"119","14D3","chlorella",3,0.9984890677412,0.00151093225879958,0.9946174829586,0.00538251704140002,"Decreased CC","Decreased GR","Decreased CC
Decreased GR"
"120","150,1DF","selenastrum",21,0.0860606567029957,0.913939343297004,0.984159930655898,0.0158400693441017,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"121","150D3","scenedesmus",13,0.917673959775117,0.0823260402248826,0.0252576040606595,0.974742395939341,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"122","150DF","selenastrum",25,0.0163775504412092,0.983622449558791,0.999997754338647,2.24566135312235e-06,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"123","151D3","scenedesmus",13,0.266709072067304,0.733290927932696,0.169065548712923,0.830934451287077,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"124","151DF","selenastrum",24,0.000372921234530913,0.999627078765469,0.882262751309183,0.117737248690817,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"125","152D3","scenedesmus",13,0.0248525061337936,0.975147493866206,0.0465882321473832,0.953411767852617,"Increased CC","Increased GR","Increased CC
Increased GR"
"126","152DF","selenastrum",22,0.0168678851369849,0.983132114863015,0.99811282679543,0.00188717320456983,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"127","153D3","scenedesmus",13,0.0787040529416099,0.92129594705839,0.114195753084854,0.885804246915146,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"128","153DF","selenastrum",22,0.0314189088155384,0.968581091184462,0.417152048767666,0.582847951232334,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"129","154D3","scenedesmus",14,0.987881426220697,0.0121185737793032,0.00310695195404139,0.996893048045959,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"130","155D3","scenedesmus",14,0.911620258565624,0.0883797414343764,0.0351742175144324,0.964825782485568,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"131","156D3","monoraphidium",17,0.0122608382914287,0.987739161708571,0.948269699640496,0.0517303003595038,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"132","157D3","monoraphidium",19,0.710276866991935,0.289723133008065,0.00618780056223282,0.993812199437767,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"133","158D3","monoraphidium",17,0.111145830495071,0.888854169504929,0.800797827438116,0.199202172561884,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"134","159,1D3","monoraphidium",16,0.132438345334843,0.867561654665157,0.880403641849937,0.119596358150063,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"135","159D3","monoraphidium",18,0.05353364101183,0.94646635898817,0.105939668842773,0.894060331157227,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"136","15DF","chlorella",2,0.0146852922018054,0.985314707798195,0.0599413600720524,0.940058639927948,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"137","160D3","monoraphidium",17,0.197904231392267,0.802095768607733,0.928140172240155,0.0718598277598451,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"138","161D3","monoraphidium",17,0.741140027382489,0.258859972617511,0.310443517423852,0.689556482576148,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"139","162D3","monoraphidium",16,0.45330019603153,0.54669980396847,0.546504097717564,0.453495902282436,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"140","163D3","monoraphidium",19,0.0187660657116258,0.981233934288374,0.959573104951356,0.0404268950486444,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"141","165D3","monoraphidium",20,0.269525582509368,0.730474417490632,0.285339671908391,0.714660328091609,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"142","166D3","monoraphidium",18,6.84269192388972e-05,0.999931573080761,0.7433722324375,0.2566277675625,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"143","167D3","monoraphidium",17,0.100916752145387,0.899083247854613,0.744833685982352,0.255166314017648,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"144","168D3","monoraphidium",19,0.0141537885345144,0.985846211465486,0.283434068223423,0.716565931776577,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"145","169D3","monoraphidium",17,0.143006265385896,0.856993734614104,0.774312049196674,0.225687950803326,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"146","16DF","chlorella",2,0.000342647113389775,0.99965735288661,0.907521214417465,0.0924787855825352,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"147","170D3","monoraphidium",20,0.00124302140727569,0.998756978592724,0.99421262464057,0.00578737535942998,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"148","171D3","monoraphidium",19,0.00351411212356648,0.996485887876434,0.988000743306016,0.0119992566939838,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"149","172D3","monoraphidium",18,0.0133490164733494,0.986650983526651,0.979220705012798,0.0207792949872021,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"150","173D3","monoraphidium",20,0.549843820122131,0.450156179877869,0.239053546953106,0.760946453046894,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"151","174D3","monoraphidium",16,0.00239848075158152,0.997601519248418,0.935689052691194,0.0643109473088064,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"152","175D3","monoraphidium",18,0.000308647245234826,0.999691352754765,0.94403466028522,0.0559653397147797,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"153","176D3","monoraphidium",20,0.528184102546405,0.471815897453595,0.0530935756260448,0.946906424373955,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"154","177D3","monoraphidium",18,0.161237801638713,0.838762198361287,0.12707044841244,0.87292955158756,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"155","178D3","monoraphidium",18,0.000374169085249198,0.999625830914751,0.560245089845716,0.439754910154284,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"156","179D3","monoraphidium",16,0.0432569416300998,0.9567430583699,0.972480006558795,0.0275199934412054,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"157","17D3","chlorella",3,0.000183800125645692,0.999816199874354,0.000473002056394999,0.999526997943605,"Increased CC","Increased GR","Increased CC
Increased GR"
"158","17DF","chlorella",2,0.0587062369395822,0.941293763060418,0.974562011922039,0.0254379880779611,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"159","180D3","monoraphidium",20,0.174456651947732,0.825543348052268,0.944644944823301,0.0553550551766993,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"160","181D3","monoraphidium",17,0.906488352999068,0.0935116470009323,0.0266380138990476,0.973361986100952,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"161","182D3","monoraphidium",17,0.877348299870572,0.122651700129428,0.0872416695541138,0.912758330445886,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"162","183,1D3","monoraphidium",19,0.0318171354514433,0.968182864548557,0.977067201689504,0.0229327983104962,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"163","183D3","monoraphidium",18,6.69786408034416e-06,0.99999330213592,0.976140827037663,0.0238591729623372,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"164","184D3","monoraphidium",19,0.0741747083065111,0.925825291693489,0.964538109122466,0.0354618908775337,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"165","185D3","monoraphidium",16,0.0103866926442858,0.989613307355714,0.973311797852873,0.0266882021471273,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"166","186D3","monoraphidium",19,0.00699620142375255,0.993003798576247,0.729921119511144,0.270078880488856,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"167","187D3","monoraphidium",16,0.190144903562907,0.809855096437093,0.996215097736526,0.00378490226347372,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"168","188D3","monoraphidium",18,0.987747018832845,0.0122529811671549,0.243787418288265,0.756212581711735,"Decreased CC","No Significant GR Change","Decreased CC
No Significant GR Change"
"169","189D3","monoraphidium",16,0.42196386857321,0.57803613142679,0.289359740248475,0.710640259751525,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"170","18D3","chlorella",4,0.00505744135825508,0.994942558641745,0.0601827350929375,0.939817264907062,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"171","18DF","chlorella",2,3.16337366897007e-05,0.99996836626331,0.961248092408474,0.0387519075915258,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"172","190D3","monoraphidium",16,0.0601541452695143,0.939845854730486,0.953594710242557,0.0464052897574431,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"173","191D3","monoraphidium",16,0.174605326073891,0.825394673926109,0.797020195750358,0.202979804249642,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"174","192D3","monoraphidium",17,0.118528558740759,0.881471441259241,0.410276852515619,0.589723147484381,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"175","194D3","monoraphidium",16,0.015054652690063,0.984945347309937,0.863243184651261,0.136756815348739,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"176","196D3","monoraphidium",18,0.00308648017066859,0.996913519829331,0.875082800088177,0.124917199911823,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"177","197D3","monoraphidium",19,0.00726840589341294,0.992731594106587,0.921693002378673,0.0783069976213267,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"178","198D3","monoraphidium",17,0.701797306480954,0.298202693519046,0.219563621261487,0.780436378738513,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"179","19DF","chlorella",2,0.021916656032088,0.978083343967912,0.999877899277584,0.000122100722415906,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"180","1D3","chlorella",3,9.44982571266101e-06,0.999990550174287,0.000422393632893502,0.999577606367106,"Increased CC","Increased GR","Increased CC
Increased GR"
"181","200D3","monoraphidium",19,0.00106953107767564,0.998930468922324,0.992744787558674,0.00725521244132631,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"182","201D3","monoraphidium",16,0.0973199747032715,0.902680025296728,0.900631630788393,0.0993683692116066,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"183","202D3","selenastrum",23,0.954059569337988,0.0459404306620117,0.00287589020304289,0.997124109796957,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"184","203D3","selenastrum",25,0.47067477084238,0.52932522915762,0.190164209357908,0.809835790642092,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"185","204D3","selenastrum",21,0.00239354859201489,0.997606451407985,0.118436263811791,0.881563736188209,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"186","205D3","selenastrum",21,0.742278899961877,0.257721100038123,0.310493407241449,0.689506592758551,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"187","206D3","selenastrum",25,0.0109845416452259,0.989015458354774,0.791279687782202,0.208720312217798,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"188","207D3","selenastrum",23,0.864704252170512,0.135295747829488,0.0455312089214436,0.954468791078556,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"189","208D3","selenastrum",24,0.277429338827905,0.722570661172095,0.536797624931896,0.463202375068104,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"190","209D3","selenastrum",22,0.025591794267353,0.974408205732647,0.646536910380441,0.353463089619559,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"191","20D3","chlorella",4,0.986208234325686,0.0137917656743143,0.0860195747732339,0.913980425226766,"Decreased CC","No Significant GR Change","Decreased CC
No Significant GR Change"
"192","20DF","chlorella",2,0.00980091584301224,0.990199084156988,0.184280559757055,0.815719440242945,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"193","210D3","selenastrum",22,0.00598894419715084,0.994011055802849,0.977140994191565,0.0228590058084345,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"194","211D3","selenastrum",23,0.905543540771886,0.094456459228114,0.165831929324821,0.834168070675179,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"195","213D3","selenastrum",21,0.0387787223163909,0.961221277683609,0.999875829269222,0.000124170730778137,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"196","214D3","selenastrum",23,0.905189262784134,0.0948107372158659,0.141990781166381,0.858009218833619,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"197","215D3","selenastrum",24,0.17197363465231,0.828026365347689,0.83842496728382,0.16157503271618,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"198","216D3","selenastrum",25,0.115059742726933,0.884940257273067,0.98337019486619,0.0166298051338097,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"199","217D3","selenastrum",22,0.00233928337177536,0.997660716628225,0.479527689458471,0.520472310541529,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"200","218D3","selenastrum",25,0.00104417234323381,0.998955827656766,0.850752430032195,0.149247569967805,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"201","219D3","selenastrum",24,0.0925215247463122,0.907478475253688,0.773222627836756,0.226777372163244,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"202","21D3","chlorella",4,0.000598415105130892,0.999401584894869,0.0344196433800118,0.965580356619988,"Increased CC","Increased GR","Increased CC
Increased GR"
"203","21DF","chlorella",2,0.000170508215726705,0.999829491784273,0.385665503734269,0.614334496265731,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"204","220D3","selenastrum",23,0.150843803820522,0.849156196179478,0.898337691226877,0.101662308773123,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"205","221D3","selenastrum",23,0.608739388774903,0.391260611225097,0.78589745235231,0.21410254764769,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"206","222D3","selenastrum",24,0.195027420903828,0.804972579096172,0.879961400409236,0.120038599590764,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"207","223D3","selenastrum",23,0.894929709292717,0.105070290707283,0.027414998521479,0.972585001478521,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"208","225D3","selenastrum",24,0.361482441040538,0.638517558959462,0.493050719422688,0.506949280577312,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"209","226D3","selenastrum",23,0.874229011275179,0.125770988724821,0.403692353996187,0.596307646003813,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"210","228D3","selenastrum",25,0.204640085092742,0.795359914907258,0.999479838333281,0.000520161666719436,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"211","22D3","chlorella",4,0.00341506082377476,0.996584939176225,2.56780722131143e-05,0.999974321927787,"Increased CC","Increased GR","Increased CC
Increased GR"
"212","22DF","chlorella",2,0.00131530109315926,0.998684698906841,0.000792996849267574,0.999207003150732,"Increased CC","Increased GR","Increased CC
Increased GR"
"213","230D3","selenastrum",22,0.998895739090182,0.00110426090981821,0.998478286587156,0.00152171341284407,"Decreased CC","Decreased GR","Decreased CC
Decreased GR"
"214","231D3","selenastrum",24,0.635861662573352,0.364138337426648,0.104295047445414,0.895704952554585,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"215","232D3","selenastrum",23,0.940022419489396,0.0599775805106041,0.00287427631752155,0.997125723682478,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"216","233D3","selenastrum",22,0.00881347198712251,0.991186528012878,0.974231355198862,0.0257686448011381,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"217","234D3","selenastrum",21,0.0588631618512257,0.941136838148774,0.948381220825498,0.0516187791745019,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"218","235D3","selenastrum",24,0.127426758570717,0.872573241429283,0.636622227892146,0.363377772107854,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"219","236D3","selenastrum",22,0.00294872112302266,0.997051278876977,0.765260774339723,0.234739225660277,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"220","237D3","selenastrum",22,0.613194861622182,0.386805138377818,0.00297633660334146,0.997023663396658,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"221","238D3","selenastrum",23,0.73564215984449,0.26435784015551,0.363706269278388,0.636293730721612,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"222","239D3","selenastrum",24,0.125394228367349,0.874605771632651,0.797015526548472,0.202984473451528,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"223","23D3","chlorella",4,0.21566526916926,0.78433473083074,0.290958336570587,0.709041663429413,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"224","240D3","selenastrum",23,0.958820946145272,0.0411790538547278,0.00242473203224561,0.997575267967754,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"225","241D3","selenastrum",24,0.478284041553131,0.521715958446869,0.676139160048611,0.323860839951389,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"226","243D3","selenastrum",21,0.135366589705252,0.864633410294748,0.990478476653966,0.00952152334603379,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"227","244D3","selenastrum",22,0.00430366509010232,0.995696334909898,0.964206730928486,0.0357932690715144,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"228","245D3","selenastrum",24,0.262386913730425,0.737613086269575,0.783311426164601,0.216688573835399,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"229","246D3","selenastrum",23,0.99736785486706,0.00263214513294007,0.614905486449308,0.385094513550692,"Decreased CC","No Significant GR Change","Decreased CC
No Significant GR Change"
"230","247D3","selenastrum",24,0.207866224029867,0.792133775970133,0.801574627533573,0.198425372466427,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"231","248D3","selenastrum",21,0.986560728316459,0.0134392716835414,0.0886357615879118,0.911364238412088,"Decreased CC","No Significant GR Change","Decreased CC
No Significant GR Change"
"232","24D3","chlorella",4,0.00246357465589449,0.997536425344105,0.265078146017359,0.734921853982641,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"233","24DF","chlorella",2,0.209291549715988,0.790708450284012,0.113324357399482,0.886675642600518,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"234","25,1DF","chlorella",2,0.722521019050849,0.277478980949151,0.205245349059397,0.794754650940602,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"235","250D3","selenastrum",25,0.00534446569404424,0.994655534305956,0.939782003804027,0.0602179961959733,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"236","25D3","chlorella",4,0.00555927704634821,0.994440722953652,0.699581063735059,0.300418936264941,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"237","25DF","chlorella",2,6.01146308314266e-06,0.999993988536917,0.999966847532371,3.31524676290412e-05,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"238","26D3","chlorella",4,0.996122282943005,0.0038777170569951,0.999375058733229,0.000624941266770818,"Decreased CC","Decreased GR","Decreased CC
Decreased GR"
"239","26DF","chlorella",2,0.0428151064287214,0.957184893571279,0.325968170854109,0.674031829145891,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"240","27D3","chlorella",4,0.00111724860276373,0.998882751397236,0.0025666590159754,0.997433340984025,"Increased CC","Increased GR","Increased CC
Increased GR"
"241","27DF","chlorella",2,0.998256056855853,0.00174394314414699,0.536862158554165,0.463137841445835,"Decreased CC","No Significant GR Change","Decreased CC
No Significant GR Change"
"242","28D3","chlorella",4,0.00953793688579382,0.990462063114206,0.736739875718942,0.263260124281058,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"243","28DF","chlorella",2,0.794144858456433,0.205855141543567,0.211068344049417,0.788931655950583,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"244","29D3","chlorella",4,0.0909310175253496,0.90906898247465,0.99999889849937,1.10150062955475e-06,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"245","29DF","chlorella",2,8.26926604223993e-06,0.999991730733958,1.63478706922099e-05,0.999983652129308,"Increased CC","Increased GR","Increased CC
Increased GR"
"246","2DF","chlorella",1,0.00116640275024313,0.998833597249757,0.000184992730324585,0.999815007269675,"Increased CC","Increased GR","Increased CC
Increased GR"
"247","30,1DF","chlorella",2,0.0274617825131608,0.972538217486839,0.999996101021127,3.89897887315442e-06,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"248","30D3","chlorella",4,0.997293426619285,0.00270657338071514,0.00133763696977076,0.998662363030229,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"249","31D3","chlorella",4,1.10367694538543e-05,0.999988963230546,0.981600219886477,0.018399780113523,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"250","31DF","chlorella",2,0.0362832031216287,0.963716796878371,0.99999577020883,4.22979116975438e-06,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"251","32DF","chlorella",3,0.00282570358365904,0.997174296416341,0.972119152830015,0.0278808471699855,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"252","33D3","chlorella",4,0.0417685025850717,0.958231497414928,0.00236639588885359,0.997633604111146,"Increased CC","Increased GR","Increased CC
Increased GR"
