"","Isolate","numOTUs","mixed","contamFlag","kingdom","phylum","class","order","family","genus","species"
"144","82D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI_unclassified","betI_unclassified"
"145","84D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_unclassified"
"146","85D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI_A","betI_A_unclassified"
"147","86D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI_A","betI_A_unclassified"
"148","87D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Vogesella",NA
"149","91D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified","Burkholderiales_unclassified"
"150","98D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Niveispirillum",NA
"151","99D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Betaproteobacteriales_unclassified","Betaproteobacteriales_unclassified",NA
"152","1,1DF",4,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"153","10,1D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"154","10D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"155","100DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas",NA
"156","101D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI_A","betI_A_unclassified"
"157","101DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"158","102DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","unclassified","unclassified","unclassified"
"159","103,1DF",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"160","103DF",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"161","104DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"162","105D3",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"163","106DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"164","107D3",3,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"165","107DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"166","108D3",3,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"167","109DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured",NA
"168","110D3",4,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"169","110DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"170","111,1DF",3,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"171","111,2DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"172","112,1DF",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"173","112,2DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"174","113,1DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"175","113,2DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"176","113,3DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_unclassified"
"177","113D3",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"178","114DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_unclassified"
"179","115D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_unclassified"
"180","115DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
"181","116D3",3,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"182","116DF",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"183","117,1DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA
"184","117D3",1,FALSE,FALSE,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI_A","betI_A_unclassified"
"185","117DF",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"186","118D3",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"187","118DF",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"188","119D3",2,TRUE,FALSE,"mixed","mixed","mixed","mixed","mixed","mixed","mixed"
"189","119DF",1,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified",NA
