"Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","exact_isolate","asymptote","intercept","growthParam","growthrate","r2","std_error","outlier"
"15DF","chlorella","2",0.0181702559132868,0.981829744086713,0.0715874744159928,0.928412525584007,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_15DF_B2",315.948557680547,-8.2046585904731,0.0655043143948275,0.0350786959484231,0.951386144152282,0.00457809115889041,FALSE
"15DF","chlorella","2",0.0181702559132868,0.981829744086713,0.0715874744159928,0.928412525584007,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_15DF_C2",273.267377722612,-10.0299634999201,0.0787058198988494,0.0373913596351228,0.962671134712927,0.00425102882068492,FALSE
"15DF","chlorella","2",0.0181702559132868,0.981829744086713,0.0715874744159928,0.928412525584007,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_15DF_D2",274.220990141986,-9.95137886040285,0.0779999484532723,0.0442638140402567,0.924823119602684,0.00728619879399503,FALSE
"16DF","chlorella","2",0.000472562468253509,0.999527437531746,0.0929759760523902,0.90702402394761,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_16DF_E2",342.300346729383,-5.77117591910344,0.0543009159817992,0.0406698797914719,0.924935508239618,0.00668919427612993,FALSE
"16DF","chlorella","2",0.000472562468253509,0.999527437531746,0.0929759760523902,0.90702402394761,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_16DF_F2",333.987809548206,-5.87633062597802,0.0557603550574577,0.033005939712023,0.963844885414698,0.00369073422583951,FALSE
"16DF","chlorella","2",0.000472562468253509,0.999527437531746,0.0929759760523902,0.90702402394761,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_16DF_G2",368.803348553009,-6.19573632287486,0.0588808880906663,0.0368927376751517,0.956734931710723,0.00452952997228076,FALSE
"17DF","chlorella","2",0.0577949490954627,0.942205050904537,0.190798597122048,0.809201402877952,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_2_17DF_B3",288.169459446211,-4.95796734911639,0.058107624241419,0.0312543783165453,0.927303447500212,0.00505238233536101,FALSE
"17DF","chlorella","2",0.0577949490954627,0.942205050904537,0.190798597122048,0.809201402877952,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_2_17DF_C3",384.951433573665,-5.23421883909213,0.0544425111131825,0.034911691001042,0.944663387752209,0.00487840665727056,FALSE
"17DF","chlorella","2",0.0577949490954627,0.942205050904537,0.190798597122048,0.809201402877952,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_2_17DF_D3",281.699142802632,-5.29633195115819,0.0604050221878247,0.0411395505746349,0.905148607371514,0.00768884007208534,FALSE
"18DF","chlorella","2",4.38567129121867e-05,0.999956143287088,0.00688959026923007,0.99311040973077,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_18DF_E3",449.651756954532,-5.56908181923878,0.0536903021819203,0.0382533202155961,0.942029487025478,0.005478729160249,FALSE
"18DF","chlorella","2",4.38567129121867e-05,0.999956143287088,0.00688959026923007,0.99311040973077,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_18DF_F3",482.35867277707,-6.00088883449766,0.0572658779962537,0.0358822489866357,0.955855488112559,0.00445206266508306,FALSE
"18DF","chlorella","2",4.38567129121867e-05,0.999956143287088,0.00688959026923007,0.99311040973077,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_18DF_G3",482.887711843969,-5.74038393523898,0.0548826973850396,0.0359359089957683,0.957117212971408,0.00439164215954493,FALSE
"19DF","chlorella","2",0.0240372445121391,0.975962755487861,0.492994032131608,0.507005967868392,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_19DF_B4",340.601048643854,-4.43737047499852,0.0401825717146518,0.0351699748172736,0.941155646416123,0.0050773032386737,FALSE
"19DF","chlorella","2",0.0240372445121391,0.975962755487861,0.492994032131608,0.507005967868392,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_19DF_C4",271.194643229665,-4.44013747028653,0.0439123123190785,0.0313878971403973,0.94513561771209,0.0043661612942315,FALSE
