"otu","Isolate","count","totalReads","otuMatches","readType","contamFlag","numOTUs","mixed","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","meanCC","seCC","meanGR","seGR","Domain","Phylum","Class","Order","Family","Genus"
"Otu00002","34D3",395,530,73,"miseq",FALSE,1,FALSE,"chlorella","4",4.08450535278148e-07,0.999999591549465,0.650727139111341,0.349272860888659,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",387.698458956842,3.65834286823701,0.0635263225947803,0.0032322284960896,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","35D3",901,998,92,"miseq",FALSE,1,FALSE,"chlorella","4",0.000358992531654712,0.999641007468345,0.985986942282,0.0140130577179996,"Increased CC","Decreased GR","Increased CC
Decreased GR",354.544942571067,7.854872830446,0.0575419392953928,0.00157535369937944,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","36,1D3",719,987,68,"miseq",FALSE,2,TRUE,"chlorella","5",0.000413799398509004,0.999586200601491,0.036459554770661,0.963540445229339,"Increased CC","Increased GR","Increased CC
Increased GR",422.035123819153,10.5238625065885,0.0589671520087687,0.00298174163849932,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","36D3",919,997,61,"miseq",FALSE,1,FALSE,"chlorella","5",0.996561403776459,0.00343859622354142,0.00459050212023922,0.995409497879761,"Decreased CC","Increased GR","Decreased CC
Increased GR",-6216.69023071751,536.037918131943,0.0975605957717398,0.00556891955132025,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","38DF",143,991,49,"miseq",FALSE,4,TRUE,"coelastrum","6",0.0202204436780826,0.979779556321917,0.891793990499553,0.108206009500447,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",591.40078774448,26.8997648151545,0.0298156455986272,0.00131327000173732,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","39D3",814,976,51,"miseq",FALSE,1,FALSE,"chlorella","5",0.000387240293658336,0.999612759706342,0.999555932178678,0.000444067821322268,"Increased CC","Decreased GR","Increased CC
Decreased GR",562.79820805033,13.9113973809686,0.0395459563422785,0.00144097152091494,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","40D3",369,415,39,"miseq",FALSE,1,FALSE,"chlorella","5",0.00369121400969291,0.996308785990307,0.00385117021908513,0.996148829780915,"Increased CC","Increased GR","Increased CC
Increased GR",403.69982751281,18.6545508309555,0.0647111138260147,0.00243559530638473,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","41DF",340,865,80,"miseq",FALSE,3,TRUE,"coelastrum","7",0.644002305139401,0.355997694860599,0.198737082280325,0.801262917719675,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",498.294005044096,7.98075840475247,0.0325507901970642,0.000659698083208429,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","4,1D3",13,92,58,"miseq",FALSE,1,FALSE,"chlorella","3",0.629649397688069,0.370350602311931,0.999006163737145,0.000993836262854518,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR",233.680937029479,6.09933505319208,0.0389375225390165,0.000723911230485105,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","50DF",181,915,71,"miseq",FALSE,4,TRUE,"coelastrum","6",0.025900251823911,0.974099748176089,0.709776190681218,0.290223809318782,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",532.220102847566,14.2518923617768,0.0311648860451687,0.00137590809758388,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
