"Well","host_species","plate_no","Day_isolated","Isolate","exact_isolate","read_day","read_time","read_timeHours","ChlA_100","day_mean","day_sd","Outlier"
"F2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_F2","10",2019-11-18 12:32:34,237.509722222222,286,276,13.228756555323,FALSE
"G2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_G2","10",2019-11-18 12:32:34,237.509722222222,261,276,13.228756555323,FALSE
"B3","chlorella","1","D31","2DF","Plate_1_2DF_B3","10",2019-11-18 12:32:34,237.509722222222,386,350.333333333333,35.0190424388408,FALSE
"C3","chlorella","1","D31","2DF","Plate_1_2DF_C3","10",2019-11-18 12:32:34,237.509722222222,349,350.333333333333,35.0190424388408,FALSE
"D3","chlorella","1","D31","2DF","Plate_1_2DF_D3","10",2019-11-18 12:32:34,237.509722222222,316,350.333333333333,35.0190424388408,FALSE
"E3","chlorella","1","D31","3DF","Plate_1_3DF_E3","10",2019-11-18 12:32:34,237.509722222222,409,389.666666666667,21.8250620464945,FALSE
"F3","chlorella","1","D31","3DF","Plate_1_3DF_F3","10",2019-11-18 12:32:34,237.509722222222,394,389.666666666667,21.8250620464945,FALSE
"G3","chlorella","1","D31","3DF","Plate_1_3DF_G3","10",2019-11-18 12:32:34,237.509722222222,366,389.666666666667,21.8250620464945,FALSE
"B4","chlorella","1","D31","4DF","Plate_1_4DF_B4","10",2019-11-18 12:32:34,237.509722222222,384,373.666666666667,26.0832002126528,FALSE
"C4","chlorella","1","D31","4DF","Plate_1_4DF_C4","10",2019-11-18 12:32:34,237.509722222222,393,373.666666666667,26.0832002126528,FALSE
"D4","chlorella","1","D31","4DF","Plate_1_4DF_D4","10",2019-11-18 12:32:34,237.509722222222,344,373.666666666667,26.0832002126528,FALSE
"E4","chlorella","1","D31","5DF","Plate_1_5DF_E4","10",2019-11-18 12:32:34,237.509722222222,355,357.333333333333,121.516802679026,FALSE
"F4","chlorella","1","D31","5DF","Plate_1_5DF_F4","10",2019-11-18 12:32:34,237.509722222222,237,357.333333333333,121.516802679026,FALSE
"G4","chlorella","1","D31","5DF","Plate_1_5DF_G4","10",2019-11-18 12:32:34,237.509722222222,480,357.333333333333,121.516802679026,FALSE
"B5","chlorella","1","D31","6DF","Plate_1_6DF_B5","10",2019-11-18 12:32:34,237.509722222222,423,429.666666666667,57.2916515151495,FALSE
"C5","chlorella","1","D31","6DF","Plate_1_6DF_C5","10",2019-11-18 12:32:34,237.509722222222,490,429.666666666667,57.2916515151495,FALSE
"D5","chlorella","1","D31","6DF","Plate_1_6DF_D5","10",2019-11-18 12:32:34,237.509722222222,376,429.666666666667,57.2916515151495,FALSE
"E5","chlorella","1","D31","7DF","Plate_1_7DF_E5","10",2019-11-18 12:32:34,237.509722222222,2,1.66666666666667,0.577350269189626,FALSE
"F5","chlorella","1","D31","7DF","Plate_1_7DF_F5","10",2019-11-18 12:32:34,237.509722222222,2,1.66666666666667,0.577350269189626,FALSE
"G5","chlorella","1","D31","7DF","Plate_1_7DF_G5","10",2019-11-18 12:32:34,237.509722222222,1,1.66666666666667,0.577350269189626,FALSE
"B6","chlorella","1","D31","8DF","Plate_1_8DF_B6","10",2019-11-18 12:32:34,237.509722222222,323,311.666666666667,22.2785397486759,FALSE
"C6","chlorella","1","D31","8DF","Plate_1_8DF_C6","10",2019-11-18 12:32:34,237.509722222222,326,311.666666666667,22.2785397486759,FALSE
"D6","chlorella","1","D31","8DF","Plate_1_8DF_D6","10",2019-11-18 12:32:34,237.509722222222,286,311.666666666667,22.2785397486759,FALSE
"E6","chlorella","1","D31","9DF","Plate_1_9DF_E6","10",2019-11-18 12:32:34,237.509722222222,226,268.333333333333,74.1911944460617,FALSE
"F6","chlorella","1","D31","9DF","Plate_1_9DF_F6","10",2019-11-18 12:32:34,237.509722222222,354,268.333333333333,74.1911944460617,FALSE
"G6","chlorella","1","D31","9DF","Plate_1_9DF_G6","10",2019-11-18 12:32:34,237.509722222222,225,268.333333333333,74.1911944460617,FALSE
"B7","chlorella","1","D31","9,1DF","Plate_1_9,1DF_B7","10",2019-11-18 12:32:34,237.509722222222,324,307,15.7162336455017,FALSE
"C7","chlorella","1","D31","9,1DF","Plate_1_9,1DF_C7","10",2019-11-18 12:32:34,237.509722222222,293,307,15.7162336455017,FALSE
"D7","chlorella","1","D31","9,1DF","Plate_1_9,1DF_D7","10",2019-11-18 12:32:34,237.509722222222,304,307,15.7162336455017,FALSE
"E7","chlorella","1","D31","9,2DF","Plate_1_9,2DF_E7","10",2019-11-18 12:32:34,237.509722222222,180,182.666666666667,17.156145643277,FALSE
"F7","chlorella","1","D31","9,2DF","Plate_1_9,2DF_F7","10",2019-11-18 12:32:34,237.509722222222,201,182.666666666667,17.156145643277,FALSE
"G7","chlorella","1","D31","9,2DF","Plate_1_9,2DF_G7","10",2019-11-18 12:32:34,237.509722222222,167,182.666666666667,17.156145643277,FALSE
"B8","chlorella","1","D31","10DF","Plate_1_10DF_B8","10",2019-11-18 12:32:34,237.509722222222,346,317.666666666667,27.5378527364305,FALSE
"C8","chlorella","1","D31","10DF","Plate_1_10DF_C8","10",2019-11-18 12:32:34,237.509722222222,316,317.666666666667,27.5378527364305,FALSE
"D8","chlorella","1","D31","10DF","Plate_1_10DF_D8","10",2019-11-18 12:32:34,237.509722222222,291,317.666666666667,27.5378527364305,FALSE
"E8","chlorella","1","D31","11DF","Plate_1_11DF_E8","10",2019-11-18 12:32:34,237.509722222222,436,387,65.1996932508122,FALSE
"F8","chlorella","1","D31","11DF","Plate_1_11DF_F8","10",2019-11-18 12:32:34,237.509722222222,412,387,65.1996932508122,FALSE
"G8","chlorella","1","D31","11DF","Plate_1_11DF_G8","10",2019-11-18 12:32:34,237.509722222222,313,387,65.1996932508122,FALSE
"B9","chlorella","1","D31","12DF","Plate_1_12DF_B9","10",2019-11-18 12:32:34,237.509722222222,330,345.666666666667,27.1354626519124,FALSE
"C9","chlorella","1","D31","12DF","Plate_1_12DF_C9","10",2019-11-18 12:32:34,237.509722222222,330,345.666666666667,27.1354626519124,FALSE
