"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","exact_isolate","asymptote","intercept","growthParam","growthrate","r2","std_error","outlier","split_var","normCC","normGR","logNormCC","logNormGR"
"44","106D3","scenedesmus","10",0.000265767185626175,0.999734232814374,0.0475339613714705,0.95246603862853,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_10_106D3_F8",281.57397766311,-4.70237132852392,0.0368440834648143,0.0238895561982076,0.954883284867645,0.00259640045501073,FALSE,"106D3_10",1.66377411850054,1.0534946826548,0.509088587091257,0.0521129069354656
"45","106D3","scenedesmus","10",0.000265767185626175,0.999734232814374,0.0475339613714705,0.95246603862853,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_10_106D3_G8",309.275632016528,-4.71201136291486,0.0352850566068773,0.0269232901334707,0.972204698093003,0.00262829642329668,FALSE,"106D3_10",1.8274586178118,1.18727793684639,0.602926268233183,0.17166323888947
"46","106DF","monoraphidium","19",0.012140464512127,0.987859535487873,0.00989471234206712,0.990105287657933,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_19_106DF_D10",484.415586614196,-3.55574915511988,0.0239072006287989,0.03566947516058,0.996116303721236,0.00128588963923541,FALSE,"106DF_19",1.08285478849197,1.15674968802256,0.0796008763807467,0.145614079103235
"47","106DF","monoraphidium","19",0.012140464512127,0.987859535487873,0.00989471234206712,0.990105287657933,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_19_106DF_D8",512.380736472609,-3.36102656587075,0.0212215798202844,0.0365285572868578,0.988195736167971,0.00230499431458658,FALSE,"106DF_19",1.14536763339594,1.18460944702052,0.135725662673644,0.169413139690082
"48","106DF","monoraphidium","19",0.012140464512127,0.987859535487873,0.00989471234206712,0.990105287657933,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_19_106DF_D9",514.719946885133,-3.36306546063864,0.0217381011584105,0.0336248186418916,0.986809214118263,0.00224449199407549,FALSE,"106DF_19",1.15059666661966,1.0904421301048,0.140280648362779,0.0865832379472567
"49","107D3","scenedesmus","12",0.0605784406821925,0.939421559317807,0.166319005114027,0.833680994885973,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_107D3_C5",363.792188415115,-4.48266756796133,0.0301646692058518,0.0243726237203495,0.973997887832637,0.00229914818001384,FALSE,"107D3_12",1.31900910298054,0.997217328283541,0.276880775137098,-0.002786550544741
"50","107D3","scenedesmus","12",0.0605784406821925,0.939421559317807,0.166319005114027,0.833680994885973,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_107D3_C6",381.477058587993,-4.25011756096451,0.028018870039139,0.0252696712692103,0.982518210252248,0.00194608411191013,FALSE,"107D3_12",1.38312951426447,1.03392044938705,0.324348695633102,0.0333578382978286
"51","107D3","scenedesmus","12",0.0605784406821925,0.939421559317807,0.166319005114027,0.833680994885973,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_107D3_C7",333.652430706838,-4.92351733214343,0.035535908782553,0.0261444727121912,0.99085756529543,0.00144992179708143,FALSE,"107D3_12",1.2097307400997,1.06971336063688,0.190397806002207,0.0673907253303623
"52","107DF","monoraphidium","18",0.000174116783478354,0.999825883216522,0.000703599807166902,0.999296400192833,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_18_107DF_G2",448.281181402842,-3.25331701234878,0.0232380039680895,0.0350774953489048,0.971422988646841,0.00347353887400942,FALSE,"107DF_18",1.41341919616889,1.15746989365355,0.34601173073672,0.14623649683744
"53","107DF","monoraphidium","18",0.000174116783478354,0.999825883216522,0.000703599807166902,0.999296400192833,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_18_107DF_G3",458.221815315546,-3.27596427157368,0.022953495698428,0.0344859121623467,0.97841486326836,0.00295731081555997,FALSE,"107DF_18",1.44476176279267,1.13794912339268,0.367944437932159,0.12922762766844
"54","107DF","monoraphidium","18",0.000174116783478354,0.999825883216522,0.000703599807166902,0.999296400192833,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_18_107DF_G4",452.730910874651,-3.37076649764573,0.0235921708828435,0.0338907880751631,0.986387581522547,0.00229860786504133,FALSE,"107DF_18",1.42744908034456,1.11831151223911,0.355888991400128,0.111819969409378
"55","108D3","scenedesmus","12",0.0634205280784434,0.936579471921557,0.0986750888423903,0.90132491115761,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_108D3_C10",349.188283837877,-4.65965656011642,0.0326277549272479,0.0251135840768316,0.982640196524119,0.00192718412395382,FALSE,"108D3_12",1.26605941442248,1.02753406871876,0.235909253444215,0.0271618237424781
"56","108D3","scenedesmus","12",0.0634205280784434,0.936579471921557,0.0986750888423903,0.90132491115761,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_108D3_C8",354.715991127481,-4.62831212671707,0.0316398015378335,0.0250557470833829,0.984459359436816,0.00181753294197912,FALSE,"108D3_12",1.28610134073587,1.02516764101099,0.251615425771178,0.0248561514230109
"57","108D3","scenedesmus","12",0.0634205280784434,0.936579471921557,0.0986750888423903,0.90132491115761,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_108D3_C9",370.622503377796,-4.47779643427342,0.0302176872408978,0.0269039271534525,0.982935206430601,0.00204664785749687,FALSE,"108D3_12",1.34377392173944,1.10078679522305,0.295482014960076,0.0960251925063995
"58","108DF","monoraphidium","17",0.0998077522235003,0.9001922477765,0.92212371647033,0.0778762835296701,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_17_108DF_B2",2095.44174642479,-3.66016064015742,0.00901322296211701,0.0280370380740586,0.989533415066264,0.00144174815593918,FALSE,"108DF_17",4.32510020789652,0.951721320187141,1.46443530957128,-0.0494830179406845
"59","108DF","monoraphidium","17",0.0998077522235003,0.9001922477765,0.92212371647033,0.0778762835296701,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_17_108DF_B3",977.085114734346,-3.26126508149333,0.0115969726450325,0.0274347410991701,0.99348170762558,0.00111111203379878,FALSE,"108DF_17",2.01675424290866,0.931276262097499,0.701489408667446,-0.0711993087759395
"60","108DF","monoraphidium","17",0.0998077522235003,0.9001922477765,0.92212371647033,0.0778762835296701,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_17_108DF_B4",738.884684776174,-3.22749097968094,0.0144942580404996,0.0291251821295391,0.998029519982929,0.00064707255213429,FALSE,"108DF_17",1.52509622812924,0.98865852783012,0.422057508481242,-0.0114062771203192
