"","value","Isolate"
"390","6_DF","6_D31"
"391","116D31","116D31"
"392","117D31","117D31"
"393","128_D3","128_D3"
"394","132D31","132D31"
"395","148_D3","148_D3"
"396","166_D3","166_D3"
"397","176_D3","176_D3"
"398","191_D3","191_D3"
"399","21_D3","21_D3"
"400","221_D3","221_D3"
"401","222_D3","222_D3"
"402","230_D3","230_D3"
"403","241_D3","241_D3"
"404","27_D3","27_D3"
"405","70D31","70D31"
"406","61_DF","61_D31"
"407","40_D3","40_D3"
"408","34_DF","34_D31"
"409","62point1_DF","62_1_D31"
"410","8_DF","8_D31"
"411","94D31","94D31"
"412","60_DF","60_D31"
"413","67_DF","67_D31"
"414","69_DF","69_D31"
"415","174_D3","174_D3"
"416","107D31","107D31"
"417","137D31","137D31"
"418","91D31","91D31"
"419","92D31","92D31"
"420","133_DF","133_D31"
"421","202_D3","202_D3"
"422","246_D3","246_D3"
"423","29_D3","29_D3"
"424","47_DF","47_D31"
"425","54_DF","54_D31"
"426","55_DF","55_D31"
"427","56_DF","56_D31"
"428","57_DF","57_D31"
"429","58_DF","58_D31"
"430","59_DF","59_D31"
"431","64_DF","64_D31"
"432","67_D3","67_D3"
"433","68_D3","68_D3"
"434","72_DF","72_D31"
"435","7_DF","7_D31"
"436","194_D3","194_D3"
"437","107_D3","107_D3"
"438","111_D3","111_D3"
"439","169_D3","169_D3"
"440","47_D3","47_D3"
"441","5_D3","5_D3"
"442","84_D3","84_D3"
"443","210_D3","210_D3"
"444","228_D3","228_D3"
"445","2_D3","2_D3"
"446","38_D3","38_D3"
"447","4_D3","4_D3"
"448","52_D3","52_D3"
"449","78_D3","78_D3"
"450","87_D3","87_D3"
"451","17_D3","17_D3"
"452","22_D3","22_D3"
"453","23_D3","23_D3"
"454","59_D3","59_D3"
"455","72_D3","72_D3"
"456","91_D3","91_D3"
"457","211_D3","211_D3"
"458","217_D3","217_D3"
"459","224_D3","224_D3"
"460","244_D3","244_D3"
"461","7_D3","7_D3"
"462","178_D3","178_D3"
"463","186_D3","186_D3"
"464","192_D3","192_D3"
"465","25_D3","25_D3"
"466","114_D3","114_D3"
"467","110_D3","110_D3"
"468","240_D3","240_D3"
