Isolate_Number,jar_no
54_DF,J16
55_DF,J16
56_DF,J16
57_DF,J16
58_DF,J16
59_DF,J16
60_DF,J17
61_DF,J17
62_DF,J18
62.1_DF,J18
63_DF,J18
64_DF,J19
65_DF,J19
66_DF,J19
67_DF,J20
68_DF,J20
69_DF,J20
70_DF,J20
71_DF,J20
72_DF,J21
73_DF,J21
74_DF,J22
75_DF,J22
76_DF,J22
77_DF,J22
78_DF,J22
79_DF,J23
80_DF,J23
81_DF,J24
82_DF,J24
83_DF,J24
84_DF,J25
85_DF,J25
86_DF,J25
87_DF,J26
88_DF,J26
89_DF,J26
90_DF,J26
91_DF,J27
92_DF,J27
93_DF,J27
94_DF,J28
95_DF,J28
96_DF,J28
97_DF,J29
98_DF,J29
99_DF,J29
100_DF,J29
101_DF,J30
102_DF,J30
103_DF,J30
104_DF,J30
105_DF,J30
106_DF,J31
107_DF,J31
108_DF,J32
109_DF,J33
110_DF,J33
111_DF,J33
112_DF,J33
113.1_DF,J33
113.2_DF,J33
113.3_DF,J34
114_DF,J35
115_DF,J35
116_DF,J35
117_DF,J35
118_DF,J35
119_DF,J35
120_DF,J35
121_DF,J36
122_DF,J36
123_DF,J37
124_DF,J37
124.1_DF,J37
124.2_DF,J37
124.3_DF,J37
125_DF,J38
126_DF,J38
127_DF,J38
128_DF,J39
129_DF,J39
130_DF,J39
131_DF,J39
132_DF,J39
133_DF,J39
134_DF,J40
135_DF,J40
136_DF,J40
137_DF,J41
138_DF,J41
139_DF,J42
140_DF,J42
141_DF,J42
142_DF,J42
143_DF,J43
144_DF,J43
145_DF,J43
146_DF,J43
147_DF,J44
148_DF,J44
149_DF,J44
150_DF,J44
150.1_DF,J44
151_DF,J45
152_DF,J45
153_DF,J45
154_DF,J20
