"","Group","asv","count","...1","Isolate_Number","jar_no","host_species","capture_day","seq_type","color","total_count_group","rel_abund","contaminated","size","domain","phylum","class","order","family","genus"
"27","31D31","ASV00790",26,64,"31D31","J8-","Chlorella","D31","Miseq","#7FC97F",239,0.108786610878661,TRUE,26,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"28","32D3","ASV00077",6756,66,"32D3","J6-","Chlorella","D3","Miseq","#7FC97F",8373,0.806879254747402,TRUE,7332,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"29","34D3","ASV00077",187,75,"34D3","J6-","Chlorella","D3","Miseq","#7FC97F",8254,0.0226556820935304,TRUE,7332,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"30","40_D3","ASV14444",1,89,"40D3","J7-","Chlorella","D3","Sanger","#7FC97F",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"31","41D31","ASV00124",196,121,"41D31","J12-","Coelastrum","D31","Miseq","#BEAED4",8353,0.023464623488567,TRUE,2831,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"32","43point1_D3","ASV14445",1,93,"431_D3","J8-","Chlorella","D3","Sanger","#7FC97F",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"33","46D31","ASV00064",570,129,"46D31","J13-","Coelastrum","D31","Miseq","#BEAED4",8911,0.0639658848614073,TRUE,9188,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"34","46point1D31","ASV00052",3399,128,"46_1D31","J13-","Coelastrum","D31","Miseq","#BEAED4",8411,0.40411366068244,TRUE,12122,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus"
"35","4_DF","ASV14501",1,87,"4D31","J1-","Chlorella","D31","Sanger","#7FC97F",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"36","50D31","ASV00115",3190,135,"50D31","J15-","Coelastrum","D31","Miseq","#BEAED4",8343,0.382356466498861,TRUE,3319,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter"
"37","57D3","ASV00084",6603,151,"57D3","J12-","Coelastrum","D3","Miseq","#BEAED4",8634,0.764767199444058,TRUE,6863,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"38","58point2D31","ASV00064",175,156,"58_2D31","J16-","Coelastrum","D31","Miseq","#BEAED4",8237,0.0212455991258954,TRUE,9188,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"39","62_D3","ASV16781",1,166,"62D3","J12-","Coelastrum","D3","Sanger","#BEAED4",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"40","62point1D3","ASV00041",457,165,"62_1D3","J12-","Coelastrum","D3","Miseq","#BEAED4",7956,0.0574409250879839,TRUE,18363,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"41","63D3","ASV00041",3421,169,"63D3","J13-","Coelastrum","D3","Miseq","#BEAED4",8604,0.397605764760576,TRUE,18363,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"42","63_D3","ASV14504",1,167,"63D3","J13-","Coelastrum","D3","Sanger","#BEAED4",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"43","64D3","ASV00041",2835,170,"64D3","J13-","Coelastrum","D3","Miseq","#BEAED4",8417,0.336818343827967,TRUE,18363,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"44","66_D3","ASV14506",1,173,"66D3","J13-","Coelastrum","D3","Sanger","#BEAED4",1,1,TRUE,1,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"45","76D3","ASV00114",3368,180,"76D3","J16-","Coelastrum","D3","Miseq","#BEAED4",8884,0.379108509680324,TRUE,3380,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"46","76D31","ASV00054",490,349,"76D31","J22-","Scenedesmus","D31","Miseq","#E0115F",8633,0.0567589482219391,TRUE,11739,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"47","7_DF","ASV00052",1,104,"7D31","J2-","Chlorella","D31","Sanger","#7FC97F",1,1,TRUE,12122,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus"
"48","87D31","ASV00054",1581,362,"87D31","J26-","Scenedesmus","D31","Miseq","#E0115F",8655,0.182668977469671,TRUE,11739,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"49","89D3","ASV00041",2166,365,"89D3","J19-","Scenedesmus","D3","Miseq","#E0115F",8975,0.24133704735376,TRUE,18363,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"50","90D3","ASV00041",871,367,"90D3","J19-","Scenedesmus","D3","Miseq","#E0115F",6919,0.125885243532302,TRUE,18363,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"51","98_D3","ASV14513",1,376,"98D3","J20-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Niveispirillum"
"52","99D31","ASV00054",496,273,"99D31","J29-","Monoraphidium","D31","Miseq","#FDC086",8535,0.0581136496777973,TRUE,11739,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"53","99_D3","ASV14516",1,377,"99D3","J20-","Scenedesmus","D3","Sanger","#E0115F",1,1,TRUE,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"54","9point2D31","ASV00064",7682,111,"9_2D31","J2-","Chlorella","D31","Miseq","#7FC97F",8593,0.893983474921448,TRUE,9188,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"55","S7","ASV00052",8687,105,"7_D31","J2-","Chlorella","D31","Miseq","#7FC97F",8762,0.991440310431408,TRUE,12122,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus"
